"Participant","Experimenter","Experiment_Duration","Date","Mobile","Gender","Education","Age","Ethnicity","PID5_Duration","PID5_Order","PID5_Disinhibition_1","PID5_Psychoticism_24","PID5_Detachment_16","PID5_NegativeAffect_11","PID5_Detachment_18","PID5_Disinhibition_5","PID5_NegativeAffect_8","PID5_Psychoticism_7","PID5_Disinhibition_3","PID5_Disinhibition_6","PID5_Antagonism_20","PID5_NegativeAffect_10","PID5_Psychoticism_23","PID5_Detachment_4","PID5_NegativeAffect_15","PID5_Antagonism_22","PID5_Psychoticism_21","PID5_Disinhibition_2","PID5_Antagonism_25","PID5_Antagonism_17","PID5_NegativeAffect_9","PID5_Antagonism_19","PID5_Detachment_13","PID5_Detachment_14","PID5_Psychoticism_12","IPIP6_Duration","IPIP6_Order","IPIP6_Extraversion_1","IPIP6_Agreeableness_2","IPIP6_Conscientiousness_3","IPIP6_Neuroticism_4","IPIP6_Openness_5","IPIP6_HonestyHumility_6_R","IPIP6_Extraversion_7_R","IPIP6_Agreeableness_8_R","IPIP6_Openness_9_R","IPIP6_Conscientiousness_10","IPIP6_Conscientiousness_11_R","IPIP6_HonestyHumility_12_R","IPIP6_Openness_13_R","IPIP6_Agreeableness_14","IPIP6_Neuroticism_15_R","IPIP6_Neuroticism_16","IPIP6_Neuroticism_17_R","IPIP6_HonestyHumility_18_R","IPIP6_Extraversion_19_R","IPIP6_Agreeableness_20_R","IPIP6_Openness_21_R","IPIP6_Conscientiousness_22_R","IPIP6_Extraversion_23","IPIP6_HonestyHumility_24_R","SSS_Duration","SSS_Order","SSS_10","SSS_4","SSS_7","SSS_11","SSS_21","SSS_3","SSS_8","SSS_17","SSS_18","SSS_14","SSS_9","SSS_16","SSS_15","SSS_13","SSS_12","SSS_6","SSS_20","SSS_19","SSS_1","SSS_5","SSS_2","MIST_Duration","MIST_Order","MIST_Real_A_3","MIST_Fake_D_15","MIST_Fake_D_14","MIST_Real_A_1","MIST_Fake_C_12","MIST_Fake_C_13","MIST_Fake_C_11","MIST_Real_A_4","MIST_Fake_C_9","MIST_Real_A_2","MIST_Fake_C_10","MIST_Fake_D_16","MIST_Real_B_8","MIST_Real_B_6","MIST_Real_B_7","MIST_Real_A_5"
"S001","Experimenter1",24.3887166666667,"14/12/2023","False","Female","Bachelor",49,"Caucasian",1.3263,1,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,1.43461666666667,3,0.36,1,0.76,0.25,0.73,0,0.5,0,0.28,0.76,0,0,0.27,1,0.69,0.64,0.34,0.76,0.66,0,0.28,0.2,1,0.79,1.1544,2,0,1,2,2,1,0,0,1,0,2,0,1,0,1,2,1,0,1,2,1,2,1.0271,4,0,1,1,1,1,1,1,1,1,0,1,1,0,0,0,1
"S002","Experimenter1",30.0115666666667,"14/12/2023","False","Male","Doctorate",54,"Caucasian",1.87225,4,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,2.39342833333338,1,0.8,0.65,0.28,0.02,0.92,0.26,0.02,0.69,0.01,0.9,0.07,0.07,0,0.94,0.14,0.08,1,0.97,0,0,0,1,1,0.93,2.29511666666667,2,1,2,3,1,0,0,2,2,2,1,3,1,2,3,2,3,0,0,0,2,3,1.06125,3,0,1,1,0,0,1,1,0,1,1,1,1,0,0,1,0
"S003","Experimenter1",24.46725,"26/12/2023","False","Female","High School",22,"Caucasian",2.03971666666667,4,1,2,0,0,0,1,0,2,1,1,0,1,0,0,0,0,3,2,0,0,0,1,1,1,0,1.83783333333333,1,0.7,0.88,0.63,0.22,0.67,0.07,0.08,0.07,0.08,0.5,0.14,0.27,0.07,0.98,0.74,0.08,0.83,0.05,0.14,0.01,0.01,0.26,0.93,0.03,2.2535,2,1,1,1,1,1,0,2,1,0,2,0,0,0,2,0,0,0,4,2,1,1,1.53631666666667,3,1,1,1,0,1,1,1,0,0,0,1,1,1,0,0,0
"S004","Experimenter1",25.0629,"08/01/2024","False","Female","Other",53,"Caucasian",2.17035,2,0,2,1,2,1,0,3,3,2,0,0,1,3,2,3,1,3,2,1,0,1,2,0,1,2,1.66807833333214,1,0.59,0.83,0.4,0.42,0.87,0.83,0.33,0.29,0.5,0.89,0.71,0.8,0,0.81,0.21,0.86,0.25,0,0.13,0.16,0.26,0.6,0.56,0.63,1.62998333333333,4,1,1,2,2,1,0,1,0,2,1,0,2,1,2,4,2,1,1,1,1,1,1.46998333333333,3,0,1,1,0,1,1,1,0,1,1,1,1,0,1,1,0
"S005","Experimenter1",25.3124,"10/01/2024","False","Female","Master",54,"Caucasian",2.84815,1,0,2,2,2,0,0,2,2,0,2,0,2,2,1,2,0,2,2,2,0,1,1,0,1,1,1.46097833333332,2,0.19,0.98,0.19,0.5,0.81,0.25,0.19,0.06,0.02,0.76,0.77,0.09,0.12,1,0.29,0.5,0.3,0.04,0.5,0.04,0.05,0.92,0.15,0.13,1.89053333333333,4,2,1,1,1,1,2,2,1,3,1,0,2,2,3,2,1,1,2,1,1,1,1.35411666666667,3,0,0,1,0,0,1,0,0,1,0,1,1,0,0,1,0
"S006","reddit1",22.1373166666667,"22/01/2024","False","Male","High School",49,"Caucasian",1.70786666666667,3,0,1,3,0,2,1,2,1,1,1,1,0,1,1,2,0,0,1,0,0,0,0,2,2,1,1.095,2,0.03,0.82,0.22,0.77,0.74,0.34,0.49,0.66,0.27,0.78,0.26,0.3,0.28,0.64,0.61,0.58,0.37,0.66,0.61,0.4,0.27,0.63,0.34,0.33,1.36685,4,1,1,0,0,0,0,0,0,0,1,0,0,0,2,0,3,0,0,0,0,0,1.06831666666667,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0
"S007","reddit1",23.0028166666667,"23/01/2024","False","Male","Master",37,"South Asian",1.88955,2,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,1,0,0,0,1,2,0,0,0,1.64601999999881,3,0.69,0.98,0.1,0.37,0.78,0.53,0.26,0.05,0,0.67,0.35,0.5,0,0.5,0.41,0.32,0.58,0,0.32,0,0,0.52,0.64,0.54,1.74348333333333,1,0,2,1,2,1,2,1,1,2,1,0,3,3,2,4,0,1,3,1,0,1,2.04183333333333,4,0,1,1,0,0,1,0,0,1,0,1,1,0,0,0,1
"S008","reddit1",26.0398666666667,"22/01/2024","False","Female","Doctorate",66,"Caucasian",2.35423333333333,1,0,1,1,0,0,0,1,1,1,0,0,0,1,2,1,0,2,1,0,0,2,0,2,0,0,1.5613649999996,2,0.5,0.84,0.29,0,0.73,0,0.06,0.18,0,0.86,0.74,0.25,0,0.81,0.5,0.33,0.12,0,0.84,0.14,0,0.59,0.5,0.02,1.7245,4,0,1,0,1,1,0,1,0,1,2,0,1,0,2,0,1,0,1,1,0,0,1.9812,3,0,1,1,0,0,1,1,0,1,1,0,0,1,0,0,0
"S009","Experimenter1",22.63955,"23/01/2024","False","Female","Master",27,"Caucasian",2.49351666666667,2,1,2,2,2,0,0,2,1,0,2,0,1,0,1,2,0,2,0,0,0,3,1,0,0,0,1.41073666666746,1,0.53,0.82,0.69,0.76,0.53,0.45,0.54,0.23,0,0.69,0.52,0.5,0.28,0.88,0.21,0.76,0.4,0,0.32,0.32,0,0.06,0.52,0.08,1.81006666666667,4,1,3,1,2,0,0,0,0,1,1,0,0,0,3,2,0,1,0,2,1,1,0.683716666666667,3,1,1,1,0,1,1,1,0,1,0,1,1,0,1,0,0
"S010","reddit1",20.5725833333333,"23/01/2024","False","Male","Bachelor",30,"",1.5428,3,0,1,2,2,1,2,2,2,1,1,1,2,2,2,2,0,2,1,0,0,1,1,3,2,0,1.68221499999762,1,0.18,0.86,0.41,0.62,0.76,0.28,0.79,0.19,0.15,0.77,0.19,0.59,0.22,0.74,0.24,0.39,0.18,0.14,0.74,0.59,0.2,0.21,0.24,0.2,1.45301666666667,4,0,2,0,1,3,1,0,0,2,1,0,3,0,3,2,2,0,1,0,1,0,1.59226666666667,2,1,0,0,0,1,1,1,0,1,0,1,1,0,0,0,0
"S011","Experimenter2",20.90675,"24/01/2024","False","Female","High School",35,"Caucasian",1.419,4,2,1,1,1,1,1,2,2,2,1,1,2,1,2,2,0,3,2,0,0,3,2,0,1,0,1.58308333333333,3,0.84,0.63,0.36,0.48,0.65,0.13,0.16,0.09,0.22,1,0,0.66,0.08,0.62,0.11,0.78,0.61,0.18,0.07,0.12,0.92,0,0.89,0.18,1.63223333333333,1,2,4,4,2,1,1,3,3,3,3,0,4,0,1,3,2,0,1,2,2,3,0.632,2,0,0,0,1,1,0,0,0,0,1,1,0,1,0,1,0
"S012","reddit1",32.0751833333333,"24/01/2024","False","Female","Bachelor",45,"Mixed",2.5832,1,0,0,3,2,0,3,3,2,2,0,0,0,2,0,2,2,2,0,0,0,1,0,3,2,2,1.9854,4,0.1,0.8,0.17,0.36,0.98,0.11,0.36,0.01,0.09,0.74,0.81,0.02,0.01,0.96,0.4,0.32,0.87,0.12,0.93,0.36,0.24,0.23,0.18,0.21,1.75085,3,0,1,2,2,2,0,0,0,1,0,0,0,0,1,1,1,0,1,0,1,1,2.21218333333333,2,0,1,0,0,0,1,1,0,1,1,0,0,1,0,0,0
